Logs,IP Address,Date,Time,Log Type,Anomaly Detected
Feb 9 19:36:45 combo sshd(pam_unix)[21693]: session closed for user test,,Feb 09,19:36:45,Normal,No
Feb 9 19:48:17 combo ftpd[25641]: connection from 211.72.151.162 () at Mon Jul 18 03:26:49 2005,,Feb 09,19:48:17,Normal,No
Feb 9 19:51:20 combo ftpd[23934]: connection from 210.245.165.136 () at Sun Jul 17 09:44:07 2005,,Feb 09,19:51:20,Normal,No
Feb 9 19:51:46 combo sshd(pam_unix)[23404]: check pass; user unknown,,Feb 09,19:51:46,Normal,No
Feb 9 20:03:39 combo sshd(pam_unix)[12673]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=62-192-102-94.dsl.easynet.nl  user=root,62-192-102-94.dsl.easynet.nl,Feb 09,20:03:39,Auth Failure,No
Feb 9 20:16:41 combo sshd(pam_unix)[15477]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=csnsu.nsuok.edu  user=root,csnsu.nsuok.edu,Feb 09,20:16:41,Auth Failure,No
Feb 9 20:21:55 combo sshd(pam_unix)[15479]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=csnsu.nsuok.edu  user=root,csnsu.nsuok.edu,Feb 09,20:21:55,Auth Failure,No
Feb 9 20:23:13 combo sshd(pam_unix)[15478]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=csnsu.nsuok.edu  user=root,csnsu.nsuok.edu,Feb 09,20:23:13,Auth Failure,No
Feb 9 20:36:09 combo sshd(pam_unix)[15480]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=csnsu.nsuok.edu  user=root,csnsu.nsuok.edu,Feb 09,20:36:09,Auth Failure,Yes
Feb 9 20:38:56 combo sshd(pam_unix)[15476]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=csnsu.nsuok.edu  user=root,csnsu.nsuok.edu,Feb 09,20:38:56,Auth Failure,Yes
Feb 9 20:49:02 combo cups[-]: cupsd shutdown succeeded,,Feb 09,20:49:02,Normal,No
Feb 9 20:53:11 combo sshd(pam_unix)[3380]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220.117.241.87  user=root,220.117.241.87,Feb 09,20:53:11,Auth Failure,No
Feb 9 21:05:19 combo kernel[-]: 0MB HIGHMEM available.,,Feb 09,21:05:19,Normal,No
Feb 9 21:11:14 combo ftpd[23029]: connection from 211.57.88.250 () at Sat Jul  9 11:35:59 2005,,Feb 09,21:11:14,Normal,No
Feb 9 21:14:11 combo ftpd[22662]: connection from 211.107.232.1 () at Sun Jul 24 13:46:34 2005,,Feb 09,21:14:11,Normal,No
