Logs,IP Address,Date,Time,Log Type,Anomaly Detected
Nov 25 19:40:56 combo sshd(pam_unix)[30585]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,150.183.249.110,Nov 25,19:40:56,Auth Failure,No
Nov 25 19:52:09 combo sshd(pam_unix)[30588]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,150.183.249.110,Nov 25,19:52:09,Auth Failure,No
Nov 25 20:00:12 combo sshd(pam_unix)[30590]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,150.183.249.110,Nov 25,20:00:12,Auth Failure,No
Nov 25 20:07:34 combo sshd(pam_unix)[30592]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,150.183.249.110,Nov 25,20:07:34,Auth Failure,No
Nov 25 20:19:40 combo sshd(pam_unix)[30595]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,150.183.249.110,Nov 25,20:19:40,Auth Failure,No
Nov 25 20:30:49 combo sshd(pam_unix)[23394]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,218.188.2.4,Nov 25,20:30:49,Auth Failure,No
Nov 25 20:32:31 combo sshd(pam_unix)[17137]: check pass; user unknown,,Nov 25,20:32:31,Normal,No
Nov 25 20:44:45 combo udev[12790]: removing device node '/udev/vcsa2',,Nov 25,20:44:45,Normal,No
Nov 25 20:54:46 combo ftpd[21945]: connection from 202.82.200.188 () at Fri Jul  1 07:57:30 2005,,Nov 25,20:54:46,Normal,No
Nov 25 21:04:07 combo ftpd[32331]: connection from 211.167.68.59 () at Sat Jun 25 19:25:30 2005,,Nov 25,21:04:07,Normal,No
Nov 25 21:13:59 combo ftpd[24197]: connection from 207.30.238.8 (host8.topspot.net) at Sun Jul 17 12:30:46 2005,,Nov 25,21:13:59,Normal,No
Nov 25 21:16:09 combo ftpd[23143]: connection from 211.167.68.59 () at Sat Jul  9 12:16:49 2005,,Nov 25,21:16:09,Normal,No
Nov 25 21:21:36 combo ftpd[23142]: connection from 211.167.68.59 () at Sat Jul  9 12:16:49 2005,,Nov 25,21:21:36,Normal,No
Nov 25 21:34:10 combo ftpd[23141]: connection from 211.167.68.59 () at Sat Jul  9 12:16:49 2005,,Nov 25,21:34:10,Normal,No
Nov 25 21:41:13 combo ftpd[23144]: connection from 211.167.68.59 () at Sat Jul  9 12:16:49 2005,,Nov 25,21:41:13,Normal,No
Nov 25 21:49:51 combo ftpd[23145]: connection from 211.167.68.59 () at Sat Jul  9 12:16:49 2005,,Nov 25,21:49:51,Normal,No
Nov 25 21:51:26 combo sshd(pam_unix)[23396]: check pass; user unknown,,Nov 25,21:51:26,Normal,No
Nov 25 21:55:07 combo sshd(pam_unix)[4054]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=68.143.156.89.nw.nuvox.net  user=root,68.143.156.89.nw.nuvox.net,Nov 25,21:55:07,Auth Failure,No
Nov 25 22:07:26 combo kernel[-]: Console: colour VGA+ 80x25,,Nov 25,22:07:26,Normal,No
Nov 25 22:16:02 combo ftpd[24202]: connection from 207.30.238.8 (host8.topspot.net) at Sun Jul 17 12:30:53 2005,,Nov 25,22:16:02,Normal,No
Nov 25 22:21:01 combo ftpd[8826]: connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,,Nov 25,22:21:01,Normal,No
Nov 25 22:22:44 combo ftpd[25239]: connection from 82.68.222.195 (82-68-222-195.dsl.in-addr.zen.co.uk) at Sun Jul 17 23:21:54 2005,,Nov 25,22:22:44,Normal,No
Nov 25 22:30:57 combo ftpd[25628]: connection from 211.72.151.162 () at Mon Jul 18 03:26:48 2005,,Nov 25,22:30:57,Normal,No
Nov 25 22:32:36 combo ftpd[25629]: connection from 211.72.151.162 () at Mon Jul 18 03:26:48 2005,,Nov 25,22:32:36,Normal,No
Nov 25 22:40:55 combo ftpd[25630]: connection from 211.72.151.162 () at Mon Jul 18 03:26:48 2005,,Nov 25,22:40:55,Normal,No
Nov 25 22:46:37 combo ftpd[25631]: connection from 211.72.151.162 () at Mon Jul 18 03:26:48 2005,,Nov 25,22:46:37,Normal,No
Nov 25 22:47:21 combo ftpd[26464]: connection from 217.187.83.50 () at Mon Jul 25 23:24:09 2005,,Nov 25,22:47:21,Normal,No
Nov 25 22:51:08 combo sshd(pam_unix)[30572]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,150.183.249.110,Nov 25,22:51:08,Auth Failure,No
Nov 25 22:51:22 combo ftpd[28696]: connection from 172.181.208.156 () at Tue Jul 26 05:47:42 2005,,Nov 25,22:51:22,Normal,No
Nov 25 23:01:25 combo ftpd[26473]: connection from 217.187.83.50 () at Mon Jul 25 23:24:09 2005,,Nov 25,23:01:25,Normal,No
Nov 25 23:01:30 combo sshd(pam_unix)[30572]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,150.183.249.110,Nov 25,23:01:30,Auth Failure,No
Nov 25 23:12:57 combo ftpd[29507]: connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,,Nov 25,23:12:57,Normal,No
